C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2021/07/12,16:25:15,0000000345345348,DEMAND,0000000345345170
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",QLD1,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",QLD1,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",QLDC,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",QLDC,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",QLDN,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",QLDN,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",QLDS,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",QLDS,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",SA1,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",SA1,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",TAS1,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",TAS1,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",TASN,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",TASN,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",TASS,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",TASS,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",VIC1,0,1,MEASUREMENT,"2021/06/01 01:19:42"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:00:00",VIC1,0,0.6,SATELLITE,"2021/06/01 01:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",NSW1,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",NSW1,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",QLD1,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",QLD1,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",QLDC,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",QLDC,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",QLDN,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",QLDN,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",QLDS,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",QLDS,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",SA1,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",SA1,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",TAS1,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",TAS1,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",TASN,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",TASN,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",TASS,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",TASS,0,0.6,SATELLITE,"2021/06/01 01:50:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",VIC1,0,1,MEASUREMENT,"2021/06/01 01:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 01:30:00",VIC1,0,0.6,SATELLITE,"2021/06/01 01:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",NSW1,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",NSW1,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",QLD1,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",QLD1,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",QLDC,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",QLDC,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",QLDN,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",QLDN,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",QLDS,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",QLDS,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",SA1,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",SA1,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",TAS1,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",TAS1,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",TASN,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",TASN,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",TASS,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",TASS,0,0.6,SATELLITE,"2021/06/01 02:20:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",VIC1,0,0.6,SATELLITE,"2021/06/01 02:20:30"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:00:00",VIC1,0,1,MEASUREMENT,"2021/06/01 02:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",NSW1,0,1,MEASUREMENT,"2021/06/01 02:49:39"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",NSW1,0,0.6,SATELLITE,"2021/06/01 02:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",QLD1,0,0.6,SATELLITE,"2021/06/01 02:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",QLD1,0,1,MEASUREMENT,"2021/06/01 02:49:39"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",QLDC,0,1,MEASUREMENT,"2021/06/01 02:49:39"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",QLDC,0,0.6,SATELLITE,"2021/06/01 02:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",QLDN,0,1,MEASUREMENT,"2021/06/01 02:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",QLDN,0,0.6,SATELLITE,"2021/06/01 02:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",QLDS,0,0.6,SATELLITE,"2021/06/01 02:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",QLDS,0,1,MEASUREMENT,"2021/06/01 02:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",SA1,0,1,MEASUREMENT,"2021/06/01 02:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",SA1,0,0.6,SATELLITE,"2021/06/01 02:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",TAS1,0,1,MEASUREMENT,"2021/06/01 02:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",TAS1,0,0.6,SATELLITE,"2021/06/01 02:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",TASN,0,0.6,SATELLITE,"2021/06/01 02:50:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",TASN,0,1,MEASUREMENT,"2021/06/01 02:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",TASS,0,0.6,SATELLITE,"2021/06/01 02:50:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",TASS,0,1,MEASUREMENT,"2021/06/01 02:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",VIC1,0,0.6,SATELLITE,"2021/06/01 02:50:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 02:30:00",VIC1,0,1,MEASUREMENT,"2021/06/01 02:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",NSW1,0,0.6,SATELLITE,"2021/06/01 03:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",NSW1,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",QLD1,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",QLD1,0,0.6,SATELLITE,"2021/06/01 03:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",QLDC,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",QLDC,0,0.6,SATELLITE,"2021/06/01 03:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",QLDN,0,0.6,SATELLITE,"2021/06/01 03:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",QLDN,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",QLDS,0,0.6,SATELLITE,"2021/06/01 03:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",QLDS,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",SA1,0,0.6,SATELLITE,"2021/06/01 03:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",SA1,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",TAS1,0,0.6,SATELLITE,"2021/06/01 03:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",TAS1,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",TASN,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",TASN,0,0.6,SATELLITE,"2021/06/01 03:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",TASS,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",TASS,0,0.6,SATELLITE,"2021/06/01 03:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",VIC1,0,0.6,SATELLITE,"2021/06/01 03:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:00:00",VIC1,0,1,MEASUREMENT,"2021/06/01 03:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",NSW1,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",NSW1,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",QLD1,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",QLD1,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",QLDC,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",QLDC,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",QLDN,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",QLDN,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",QLDS,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",QLDS,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",SA1,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",SA1,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",TAS1,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",TAS1,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",TASN,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",TASN,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",TASS,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",TASS,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",VIC1,0,0.6,SATELLITE,"2021/06/01 03:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 03:30:00",VIC1,0,1,MEASUREMENT,"2021/06/01 03:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",NSW1,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",NSW1,0,1,MEASUREMENT,"2021/06/01 04:19:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",QLD1,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",QLD1,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",QLDC,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",QLDC,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",QLDN,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",QLDN,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",QLDS,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",QLDS,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",SA1,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",SA1,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",TAS1,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",TAS1,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",TASN,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",TASN,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",TASS,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",TASS,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",VIC1,0,0.6,SATELLITE,"2021/06/01 04:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:00:00",VIC1,0,1,MEASUREMENT,"2021/06/01 04:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",NSW1,0,0.6,SATELLITE,"2021/06/01 04:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",NSW1,0,1,MEASUREMENT,"2021/06/01 04:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",QLD1,0,1,MEASUREMENT,"2021/06/01 04:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",QLD1,0,0.6,SATELLITE,"2021/06/01 04:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",QLDC,0,0.6,SATELLITE,"2021/06/01 04:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",QLDC,0,1,MEASUREMENT,"2021/06/01 04:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",QLDN,0,0.6,SATELLITE,"2021/06/01 04:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",QLDN,0,1,MEASUREMENT,"2021/06/01 04:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",QLDS,0,1,MEASUREMENT,"2021/06/01 04:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",QLDS,0,0.6,SATELLITE,"2021/06/01 04:50:28"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",SA1,0,0.6,SATELLITE,"2021/06/01 04:50:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",SA1,0,1,MEASUREMENT,"2021/06/01 04:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",TAS1,0,1,MEASUREMENT,"2021/06/01 04:49:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",TAS1,0,0.6,SATELLITE,"2021/06/01 04:50:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",TASN,0,1,MEASUREMENT,"2021/06/01 04:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",TASN,0,0.6,SATELLITE,"2021/06/01 04:50:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",TASS,0,1,MEASUREMENT,"2021/06/01 04:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",TASS,0,0.6,SATELLITE,"2021/06/01 04:50:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",VIC1,0,1,MEASUREMENT,"2021/06/01 04:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 04:30:00",VIC1,0,0.6,SATELLITE,"2021/06/01 04:50:29"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",NSW1,0,1,MEASUREMENT,"2021/06/01 05:19:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",NSW1,0,0.6,SATELLITE,"2021/06/01 05:20:24"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",QLD1,0,1,MEASUREMENT,"2021/06/01 05:19:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",QLD1,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",QLDC,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",QLDC,0,1,MEASUREMENT,"2021/06/01 05:19:40"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",QLDN,0,1,MEASUREMENT,"2021/06/01 05:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",QLDN,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",QLDS,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",QLDS,0,1,MEASUREMENT,"2021/06/01 05:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",SA1,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",SA1,0,1,MEASUREMENT,"2021/06/01 05:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",TAS1,0,1,MEASUREMENT,"2021/06/01 05:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",TAS1,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",TASN,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",TASN,0,1,MEASUREMENT,"2021/06/01 05:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",TASS,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",TASS,0,1,MEASUREMENT,"2021/06/01 05:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",VIC1,0,1,MEASUREMENT,"2021/06/01 05:19:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:00:00",VIC1,0,0.6,SATELLITE,"2021/06/01 05:20:25"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",NSW1,0,0.6,SATELLITE,"2021/06/01 05:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",NSW1,0,1,MEASUREMENT,"2021/06/01 05:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",QLD1,0,1,MEASUREMENT,"2021/06/01 05:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",QLD1,0,0.6,SATELLITE,"2021/06/01 05:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",QLDC,0,0.6,SATELLITE,"2021/06/01 05:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",QLDC,0,1,MEASUREMENT,"2021/06/01 05:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",QLDN,0,1,MEASUREMENT,"2021/06/01 05:49:41"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",QLDN,0,0.6,SATELLITE,"2021/06/01 05:50:26"
D,ROOFTOP,ACTUAL,2,"2021/06/01 05:30:00",QLDS,0,0.6,SATELLITE,"2021/06/01 05:50:26"
