C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/02/28,06:00:02,0000000412289395,DEMAND,0000000412289394
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",NSW1,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",QLD1,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",QLDC,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",QLDN,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",QLDS,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",SA1,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",TAS1,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",TASN,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",TASS,0,0.6,SATELLITE,"2024/02/28 05:50:23"
D,ROOFTOP,ACTUAL,2,"2024/02/28 05:30:00",VIC1,0,0.6,SATELLITE,"2024/02/28 05:50:23"
C,"END OF REPORT",13
