C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2023/04/27,19:00:04,0000000385883953,DEMAND,0000000385883952
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",NSW1,0,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",QLD1,0,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",QLDC,0,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",QLDN,0,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",QLDS,0,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",SA1,0.36,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",TAS1,0,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",TASN,0,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",TASS,0,0.6,SATELLITE,"2023/04/27 18:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/27 18:30:00",VIC1,0,0.6,SATELLITE,"2023/04/27 18:50:22"
C,"END OF REPORT",13
