C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_MEASUREMENT,AEMO,PUBLIC,2023/06/26,07:30:01,0000000390488446,DEMAND,0000000390488446
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",NSW1,1.466,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",QLD1,18.838,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",QLDC,1.306,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",QLDN,1.072,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",QLDS,16.46,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",SA1,0,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",TAS1,0,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",TASN,0,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",TASS,0,1,MEASUREMENT,"2023/06/26 07:19:20"
D,ROOFTOP,ACTUAL,2,"2023/06/26 07:00:00",VIC1,0,1,MEASUREMENT,"2023/06/26 07:19:20"
C,"END OF REPORT",13
